day,month,year,name,bio,url
19,6,1926,Erna Schneider Hoover,American mathematician and inventor,https://en.wikipedia.org/wiki/Erna_Schneider_Hoover
20,6,1917,Helena Rasiowa,Austrian-Polish mathematician and academic (d. 1994),https://en.wikipedia.org/wiki/Helena_Rasiowa
20,6,1942,Neil Trudinger,Australian mathematician and theorist,https://en.wikipedia.org/wiki/Neil_Trudinger
20,6,1946,David Kazhdan,Russian-Israeli mathematician and academic,https://en.wikipedia.org/wiki/David_Kazhdan
20,6,1969,Misha Verbitsky,Russian mathematician and academic,https://en.wikipedia.org/wiki/Misha_Verbitsky
21,6,1710,James Short,Scottish-English mathematician and optician (d. 1768),https://en.wikipedia.org/wiki/James_Short_(mathematician)
21,6,1781,Siméon Denis Poisson,French mathematician and physicist (d. 1840),https://en.wikipedia.org/wiki/Sim%C3%A9on_Denis_Poisson
21,6,1894,Harry Schmidt,German mathematician and physicist (d. 1951),https://en.wikipedia.org/wiki/Harry_Schmidt_(mathematician)
21,6,1918,Tibor Szele,Hungarian mathematician and academic (d. 1955),https://en.wikipedia.org/wiki/Tibor_Szele
21,6,1928,Wolfgang Haken,German-American mathematician and academic (d. 2022),https://en.wikipedia.org/wiki/Wolfgang_Haken
21,6,1938,Michael M. Richter,German mathematician and computer scientist (d. 2020),https://en.wikipedia.org/wiki/Michael_M._Richter
22,6,1864,Hermann Minkowski,German mathematician and academic (d. 1909),https://en.wikipedia.org/wiki/Hermann_Minkowski
22,6,1953,Mauro Francaviglia,Italian mathematician and academic (d. 2013),https://en.wikipedia.org/wiki/Mauro_Francaviglia
23,6,1912,Alan Turing,English mathematician and computer scientist (d. 1954),https://en.wikipedia.org/wiki/Alan_Turing
24,6,1880,Oswald Veblen,American mathematician and academic (g. 1960),https://en.wikipedia.org/wiki/Oswald_Veblen
24,6,1900,Wilhelm Cauer,German mathematician and engineer (d. 1945),https://en.wikipedia.org/wiki/Wilhelm_Cauer
24,6,1909,William Penney,"Baron Penney, English mathematician and physicist (d. 1991)","https://en.wikipedia.org/wiki/William_Penney,_Baron_Penney"
25,6,1935,Charles Sheffield,"English-American mathematician, physicist, and author (d. 2002)",https://en.wikipedia.org/wiki/Charles_Sheffield
25,6,1951,Eva Bayer-Fluckiger,Swiss mathematician and academic,https://en.wikipedia.org/wiki/Eva_Bayer-Fluckiger
26,6,1878,Leopold Löwenheim,German mathematician and logician (d. 1957),https://en.wikipedia.org/wiki/Leopold_L%C3%B6wenheim
27,6,1806,Augustus De Morgan,English mathematician and logician (d. 1871),https://en.wikipedia.org/wiki/Augustus_De_Morgan
27,6,1850,Jørgen Pedersen Gram,Danish mathematician and academic (d. 1919),https://en.wikipedia.org/wiki/J%C3%B8rgen_Pedersen_Gram
28,6,1875,Henri Lebesgue,French mathematician and academic (d. 1941),https://en.wikipedia.org/wiki/Henri_Lebesgue
28,6,1972,Ngô Bảo Châu,Vietnamese-French mathematician and academic,https://en.wikipedia.org/wiki/Ng%C3%B4_B%E1%BA%A3o_Ch%C3%A2u
29,6,1904,Witold Hurewicz,Polish mathematician (d. 1956),https://en.wikipedia.org/wiki/Witold_Hurewicz
29,6,1914,Christos Papakyriakopoulos,Greek-American mathematician and academic (d. 1976),https://en.wikipedia.org/wiki/Christos_Papakyriakopoulos
30,6,1928,Hassan Hassanzadeh Amoli,"Islamic philosopher, theologian, mathematician and mystic (d. 2021)",https://en.wikipedia.org/wiki/Hassan_Hassanzadeh_Amoli
30,6,1952,Athanassios S. Fokas,Greek mathematician and academic,https://en.wikipedia.org/wiki/Athanassios_S._Fokas
1,7,1646,Gottfried Wilhelm Leibniz,German mathematician and philosopher (d. 1716),https://en.wikipedia.org/wiki/Gottfried_Wilhelm_Leibniz
1,7,1788,Jean-Victor Poncelet,French mathematician and engineer (d. 1867),https://en.wikipedia.org/wiki/Jean-Victor_Poncelet
1,7,1906,Jean Dieudonné,French mathematician and academic (d. 1992),https://en.wikipedia.org/wiki/Jean_Dieudonn%C3%A9
2,7,1862,William Henry Bragg,"English physicist, chemist, and mathematician, Nobel Prize laureate (d. 1942)",https://en.wikipedia.org/wiki/William_Henry_Bragg
3,7,1879,Alfred Korzybski,"Polish-American mathematician, linguist, and philosopher (d. 1950)",https://en.wikipedia.org/wiki/Alfred_Korzybski
3,7,1897,Jesse Douglas,American mathematician and academic (d. 1965),https://en.wikipedia.org/wiki/Jesse_Douglas
3,7,1933,Edward Brandt,"Jr., American physician and mathematician (d. 2007)","https://en.wikipedia.org/wiki/Edward_Brandt,_Jr."
4,7,1921,Gérard Debreu,"French economist and mathematician, Nobel Prize laureate (d. 2004)",https://en.wikipedia.org/wiki/G%C3%A9rard_Debreu
5,7,1820,William John Macquorn Rankine,"Scottish physicist, mathematician, and engineer (d. 1872)",https://en.wikipedia.org/wiki/William_John_Macquorn_Rankine
5,7,1953,Caryn Navy,American mathematician and computer scientist,https://en.wikipedia.org/wiki/Caryn_Navy
6,7,1423,Antonio Manetti,Italian mathematician and architect (d. 1497),https://en.wikipedia.org/wiki/Antonio_Manetti
6,7,1928,Bernard Malgrange,French mathematician,https://en.wikipedia.org/wiki/Bernard_Malgrange
6,7,1976,Ioana Dumitriu,Romanian-American mathematician and academic,https://en.wikipedia.org/wiki/Ioana_Dumitriu
7,7,1905,Marie-Louise Dubreil-Jacotin,French mathematician (d. 1972),https://en.wikipedia.org/wiki/Marie-Louise_Dubreil-Jacotin
7,7,1906,William Feller,Croatian-American mathematician and academic (d. 1970),https://en.wikipedia.org/wiki/William_Feller
7,7,1936,Egbert Brieskorn,German mathematician and academic (d. 2013),https://en.wikipedia.org/wiki/Egbert_Brieskorn
8,7,1760,Christian Kramp,French mathematician and academic (d. 1826),https://en.wikipedia.org/wiki/Christian_Kramp
8,7,1904,Henri Cartan,French mathematician and academic (d. 2008),https://en.wikipedia.org/wiki/Henri_Cartan
9,7,1918,Nicolaas Govert de Bruijn,Dutch mathematician and academic (d. 2012),https://en.wikipedia.org/wiki/Nicolaas_Govert_de_Bruijn
9,7,1922,Kathleen Booth,British computer scientist and mathematician (d. 2022),https://en.wikipedia.org/wiki/Kathleen_Booth
10,7,1682,Roger Cotes,English mathematician and astronomer (d. 1716),https://en.wikipedia.org/wiki/Roger_Cotes
10,7,1927,Grigory Barenblatt,Russian mathematician and academic (d. 2018),https://en.wikipedia.org/wiki/Grigory_Barenblatt
12,7,1879,Margherita Piazzola Beloch,Italian mathematician (d. 1976),https://en.wikipedia.org/wiki/Margherita_Piazzola_Beloch
12,7,1888,Zygmunt Janiszewski,Polish mathematician and academic (d. 1920),https://en.wikipedia.org/wiki/Zygmunt_Janiszewski
13,7,1527,John Dee,"English-Welsh mathematician, astronomer, and astrologer (d. 1609)",https://en.wikipedia.org/wiki/John_Dee
14,7,1671,Jacques d'Allonville,French astronomer and mathematician (d. 1732),https://en.wikipedia.org/wiki/Jacques_d%27Allonville
15,7,1865,Wilhelm Wirtinger,Austrian-German mathematician and theorist (d. 1945),https://en.wikipedia.org/wiki/Wilhelm_Wirtinger
15,7,1922,Leon M. Lederman,"American physicist and mathematician, Nobel Prize laureate (d. 2018)",https://en.wikipedia.org/wiki/Leon_M._Lederman
15,7,1930,Stephen Smale,American mathematician and computer scientist,https://en.wikipedia.org/wiki/Stephen_Smale
16,7,1903,Irmgard Flügge-Lotz,German mathematician and engineer (d. 1974),https://en.wikipedia.org/wiki/Irmgard_Fl%C3%BCgge-Lotz
17,7,1698,Pierre Louis Maupertuis,French mathematician and philosopher (d. 1759),https://en.wikipedia.org/wiki/Pierre_Louis_Maupertuis
17,7,1929,Sergei K. Godunov,Russian mathematician and academic (d. 2023),https://en.wikipedia.org/wiki/Sergei_K._Godunov
17,7,1975,Terence Tao,Australian-American mathematician,https://en.wikipedia.org/wiki/Terence_Tao
18,7,1013,Hermann of Reichenau,"German composer, mathematician, and astronomer (b. 1013)",https://en.wikipedia.org/wiki/Hermann_of_Reichenau
18,7,1908,Beatrice Aitchison,"American mathematician, statistician, and transportation economist (d. 1997)",https://en.wikipedia.org/wiki/Beatrice_Aitchison
19,7,1886,Michael Fekete,Hungarian-Israeli mathematician and academic (d. 1957),https://en.wikipedia.org/wiki/Michael_Fekete
19,7,1894,Aleksandr Khinchin,Russian mathematician and academic (d. 1959),https://en.wikipedia.org/wiki/Aleksandr_Khinchin
20,7,1876,Otto Blumenthal,German mathematician and academic (d. 1944),https://en.wikipedia.org/wiki/Otto_Blumenthal
20,7,1882,Olga Hahn-Neurath,Austrian mathematician and philosopher (d. 1937),https://en.wikipedia.org/wiki/Olga_Hahn-Neurath
22,7,1755,Gaspard de Prony,French mathematician and engineer (d. 1839),https://en.wikipedia.org/wiki/Gaspard_de_Prony
22,7,1784,Friedrich Bessel,German mathematician and astronomer (d. 1846),https://en.wikipedia.org/wiki/Friedrich_Bessel
22,7,1936,Geraldine Claudette Darden,American mathematician,https://en.wikipedia.org/wiki/Geraldine_Claudette_Darden
23,7,1775,Étienne-Louis Malus,French physicist and mathematician (d. 1812),https://en.wikipedia.org/wiki/%C3%89tienne-Louis_Malus
24,7,1786,Joseph Nicollet,French mathematician and explorer (d. 1843),https://en.wikipedia.org/wiki/Joseph_Nicollet
24,7,1851,Friedrich Schottky,Polish-German mathematician and theorist (d. 1935),https://en.wikipedia.org/wiki/Friedrich_Schottky
24,7,1856,Émile Picard,French mathematician and academic (d. 1941),https://en.wikipedia.org/wiki/%C3%89mile_Picard
25,7,1923,Edgar Gilbert,American mathematician and theorist (d. 2013),https://en.wikipedia.org/wiki/Edgar_Gilbert
26,7,1711,Lorenz Christoph Mizler,"German physician, mathematician, and historian (d. 1778)",https://en.wikipedia.org/wiki/Lorenz_Christoph_Mizler
27,7,1667,Johann Bernoulli,Swiss mathematician and academic (d. 1748),https://en.wikipedia.org/wiki/Johann_Bernoulli
27,7,1907,Irene Fischer,Austrian-American geodesist and mathematician (d. 2009),https://en.wikipedia.org/wiki/Irene_Fischer
28,7,1954,Gerd Faltings,German mathematician and academic,https://en.wikipedia.org/wiki/Gerd_Faltings
29,7,1925,Harold W. Kuhn,American mathematician and academic (d. 2014),https://en.wikipedia.org/wiki/Harold_W._Kuhn
31,7,1704,Gabriel Cramer,Swiss mathematician and physicist (d. 1752),https://en.wikipedia.org/wiki/Gabriel_Cramer
31,7,1926,Hilary Putnam,"American mathematician, computer scientist, and philosopher (d. 2016)",https://en.wikipedia.org/wiki/Hilary_Putnam
1,8,1881,Otto Toeplitz,German mathematician and academic (d. 1940),https://en.wikipedia.org/wiki/Otto_Toeplitz
2,8,1887,Oskar Anderson,Bulgarian-German mathematician and statistician (d. 1960),https://en.wikipedia.org/wiki/Oskar_Anderson
2,8,1902,Mina Rees,American mathematician (d. 1997),https://en.wikipedia.org/wiki/Mina_Rees
2,8,1927,Peter Swinnerton-Dyer,English mathematician and academic (d. 2018),https://en.wikipedia.org/wiki/Peter_Swinnerton-Dyer
3,8,1943,Béla Bollobás,Hungarian-English mathematician and academic,https://en.wikipedia.org/wiki/B%C3%A9la_Bollob%C3%A1s
4,8,1805,William Rowan Hamilton,"Irish physicist, astronomer, and mathematician (d. 1865)",https://en.wikipedia.org/wiki/William_Rowan_Hamilton
4,8,1834,John Venn,English mathematician and philosopher (d. 1923),https://en.wikipedia.org/wiki/John_Venn
4,8,1912,Aleksandr Danilovich Aleksandrov,"Russian mathematician, physicist, and mountaineer (d. 1999)",https://en.wikipedia.org/wiki/Aleksandr_Danilovich_Aleksandrov
5,8,1802,Niels Henrik Abel,Norwegian mathematician and theorist (d. 1829),https://en.wikipedia.org/wiki/Niels_Henrik_Abel
6,8,1667,Johann Bernoulli,Swiss mathematician (d. 1748),https://en.wikipedia.org/wiki/Johann_Bernoulli
7,8,1869,Mary Frances Winston,American mathematician (d. 1959),https://en.wikipedia.org/wiki/Mary_Frances_Winston_Newson
8,8,1931,Roger Penrose,"English physicist, mathematician, and philosopher, Nobel Prize laureate",https://en.wikipedia.org/wiki/Roger_Penrose
8,8,1973,Ilka Agricola,German mathematician,https://en.wikipedia.org/wiki/Ilka_Agricola
8,8,1974,Manjul Bhargava,Canadian-American mathematician and academic,https://en.wikipedia.org/wiki/Manjul_Bhargava
9,8,1537,Francesco Barozzi,Italian mathematician and astronomer (d. 1604),https://en.wikipedia.org/wiki/Francesco_Barozzi
9,8,1726,Francesco Cetti,"Italian priest, zoologist, and mathematician (d. 1778)",https://en.wikipedia.org/wiki/Francesco_Cetti
9,8,1940,Linda Keen,American mathematician and academic,https://en.wikipedia.org/wiki/Linda_Keen
10,8,1602,Gilles de Roberval,French mathematician and academic (d. 1675),https://en.wikipedia.org/wiki/Gilles_de_Roberval
10,8,1926,Carol Ruth Vander Velde,American mathematician (d. 1972),https://en.wikipedia.org/wiki/Carol_Karp
11,8,1956,Pierre-Louis Lions,French mathematician and academic,https://en.wikipedia.org/wiki/Pierre-Louis_Lions
12,8,1452,Abraham Zacuto,"Jewish astronomer, astrologer, mathematician, rabbi and historian (d. 1515)",https://en.wikipedia.org/wiki/Abraham_Zacuto
12,8,1930,Jacques Tits,Belgian-French mathematician and academic (d. 2021),https://en.wikipedia.org/wiki/Jacques_Tits
13,8,1625,Rasmus Bartholin,"Danish physician, mathematician, and physicist (d. 1698)",https://en.wikipedia.org/wiki/Rasmus_Bartholin
13,8,1819,Sir George Stokes,"1st Baronet, Anglo-Irish mathematician and physicist (d. 1903)","https://en.wikipedia.org/wiki/Sir_George_Stokes,_1st_Baronet"
13,8,1914,Grace Bates,American mathematician and academic (d. 1996),https://en.wikipedia.org/wiki/Grace_Bates
14,8,1530,Giambattista Benedetti,Italian mathematician and physicist (d. 1590),https://en.wikipedia.org/wiki/Giambattista_Benedetti
14,8,1865,Guido Castelnuovo,Italian mathematician and academic (d. 1952),https://en.wikipedia.org/wiki/Guido_Castelnuovo
14,8,1866,Charles Jean de la Vallée-Poussin,Belgian mathematician and academic (d. 1962),https://en.wikipedia.org/wiki/Charles_Jean_de_la_Vall%C3%A9e-Poussin
14,8,1910,Nüzhet Gökdoğan,Turkish astronomer and mathematician (d. 2003),https://en.wikipedia.org/wiki/N%C3%BCzhet_G%C3%B6kdo%C4%9Fan
15,8,1863,Aleksey Krylov,Russian mathematician and engineer (d. 1945),https://en.wikipedia.org/wiki/Aleksey_Krylov
15,8,1901,Pyotr Novikov,Russian mathematician and theorist (d. 1975),https://en.wikipedia.org/wiki/Pyotr_Novikov
16,8,1821,Arthur Cayley,English mathematician and academic (d. 1895),https://en.wikipedia.org/wiki/Arthur_Cayley
16,8,1842,Jakob Rosanes,"Ukrainian-German mathematician, chess player, and academic (d. 1922)",https://en.wikipedia.org/wiki/Jakob_Rosanes
18,8,1685,Brook Taylor,English mathematician and theorist (d. 1731),https://en.wikipedia.org/wiki/Brook_Taylor
19,8,1947,Anuška Ferligoj,Slovenian mathematician,https://en.wikipedia.org/wiki/Anu%C5%A1ka_Ferligoj
20,8,1710,Thomas Simpson,English mathematician and academic (d. 1761),https://en.wikipedia.org/wiki/Thomas_Simpson
20,8,1957,Simon Donaldson,English mathematician and academic,https://en.wikipedia.org/wiki/Simon_Donaldson
21,8,1660,Hubert Gautier,French mathematician and engineer (d. 1737),https://en.wikipedia.org/wiki/Hubert_Gautier
21,8,1665,Giacomo F. Maraldi,French-Italian astronomer and mathematician (d. 1729),https://en.wikipedia.org/wiki/Giacomo_F._Maraldi
21,8,1789,Augustin-Louis Cauchy,French mathematician and academic (d. 1857),https://en.wikipedia.org/wiki/Augustin-Louis_Cauchy
21,8,1909,Nikolay Bogolyubov,Russian mathematician and physicist (d. 1992),https://en.wikipedia.org/wiki/Nikolay_Bogolyubov
21,8,1917,Leonid Hurwicz,Russian economist and mathematician (d. 2008),https://en.wikipedia.org/wiki/Leonid_Hurwicz
21,8,1940,Endre Szemerédi,Hungarian-American mathematician and computer scientist,https://en.wikipedia.org/wiki/Endre_Szemer%C3%A9di
21,8,1951,Eric Goles,Chilean mathematician and computer scientist,https://en.wikipedia.org/wiki/Eric_Goles
22,8,1647,Denis Papin,"French physicist and mathematician, developed pressure cooking (d. 1712)",https://en.wikipedia.org/wiki/Denis_Papin
23,8,1829,Moritz Cantor,German mathematician and historian (d. 1920),https://en.wikipedia.org/wiki/Moritz_Cantor
23,8,1919,Vladimir Abramovich Rokhlin,Azerbaijani mathematician and theorist (d. 1984),https://en.wikipedia.org/wiki/Vladimir_Abramovich_Rokhlin
23,8,1956,Andreas Floer,German mathematician and academic (d. 1991),https://en.wikipedia.org/wiki/Andreas_Floer
25,8,1561,Philippe van Lansberge,Dutch astronomer and mathematician (d. 1632),https://en.wikipedia.org/wiki/Philippe_van_Lansberge
25,8,1898,Helmut Hasse,German mathematician and academic (d. 1975),https://en.wikipedia.org/wiki/Helmut_Hasse
25,8,1964,Azmin Ali,Malaysian mathematician and politician,https://en.wikipedia.org/wiki/Azmin_Ali
25,8,1964,Maxim Kontsevich,Russian-American mathematician and academic,https://en.wikipedia.org/wiki/Maxim_Kontsevich
26,8,1728,Johann Heinrich Lambert,"Swiss mathematician, physicist, and astronomer (d. 1777)",https://en.wikipedia.org/wiki/Johann_Heinrich_Lambert
26,8,1918,Katherine Johnson,American physicist and mathematician (d. 2020),https://en.wikipedia.org/wiki/Katherine_Johnson
26,8,1921,Shimshon Amitsur,Israeli mathematician and scholar (d. 1994),https://en.wikipedia.org/wiki/Shimshon_Amitsur
26,8,1965,Marcus du Sautoy,English mathematician and academic,https://en.wikipedia.org/wiki/Marcus_du_Sautoy
27,8,1858,Giuseppe Peano,Italian mathematician and philosopher (d. 1932),https://en.wikipedia.org/wiki/Giuseppe_Peano
28,8,1801,Antoine Augustin Cournot,French mathematician and philosopher (d. 1877),https://en.wikipedia.org/wiki/Antoine_Augustin_Cournot
28,8,1910,Tjalling Koopmans,Dutch-American mathematician and economist Nobel Prize laureate (d. 1985),https://en.wikipedia.org/wiki/Tjalling_Koopmans
28,8,1939,John Kingman,English mathematician and academic,https://en.wikipedia.org/wiki/John_Kingman
29,8,1756,Jan Śniadecki,Polish mathematician and astronomer (d. 1830),https://en.wikipedia.org/wiki/Jan_%C5%9Aniadecki
29,8,1959,Stephen Wolfram,English-American physicist and mathematician,https://en.wikipedia.org/wiki/Stephen_Wolfram
30,8,1856,Carl David Tolmé Runge,"German mathematician, physicist, and spectroscopist (d. 1927)",https://en.wikipedia.org/wiki/Carl_David_Tolm%C3%A9_Runge
30,8,1906,Olga Taussky-Todd,Austrian mathematician (d. 1995),https://en.wikipedia.org/wiki/Olga_Taussky-Todd
30,8,1935,Alexandra Bellow,Romanian-American mathematician,https://en.wikipedia.org/wiki/Alexandra_Bellow
2,9,1913,Israel Gelfand,Russian-American mathematician and biologist (d. 2009),https://en.wikipedia.org/wiki/Israel_Gelfand
2,9,1923,René Thom,"French mathematician, biologist, and academic (d. 2002)",https://en.wikipedia.org/wiki/Ren%C3%A9_Thom
3,9,1704,Joseph de Jussieu,"French explorer, geographer, and mathematician, (d. 1779)",https://en.wikipedia.org/wiki/Joseph_de_Jussieu
3,9,1814,James Joseph Sylvester,English mathematician and academic (d. 1897),https://en.wikipedia.org/wiki/James_Joseph_Sylvester
3,9,1908,Lev Pontryagin,Russian mathematician and academic (d. 1988),https://en.wikipedia.org/wiki/Lev_Pontryagin
3,9,1945,Peter Goddard,English physicist and mathematician,https://en.wikipedia.org/wiki/Peter_Goddard_(physicist)
5,9,1667,Giovanni Girolamo Saccheri,"Italian priest, mathematician, and philosopher (d. 1733)",https://en.wikipedia.org/wiki/Giovanni_Girolamo_Saccheri
5,9,1725,Jean-Étienne Montucla,French mathematician and theorist (d. 1799),https://en.wikipedia.org/wiki/Jean-%C3%89tienne_Montucla
5,9,1914,Nicanor Parra,"Chilean physicist, mathematician, and poet (d. 2018)",https://en.wikipedia.org/wiki/Nicanor_Parra
6,9,1929,Ljubov Rebane,Estonian physicist and mathematician (d. 1991),https://en.wikipedia.org/wiki/Ljubov_Rebane
7,9,1707,Georges-Louis Leclerc,"Comte de Buffon, French mathematician, cosmologist, and author (d. 1788)","https://en.wikipedia.org/wiki/Georges-Louis_Leclerc,_Comte_de_Buffon"
7,9,1915,Kiyosi Itô,Japanese mathematician and academic (d. 2008),https://en.wikipedia.org/wiki/Kiyosi_It%C3%B4
8,9,1588,Marin Mersenne,"French mathematician, philosopher, and theologian (d. 1648)",https://en.wikipedia.org/wiki/Marin_Mersenne
8,9,1927,Marguerite Frank,American-French mathematician,https://en.wikipedia.org/wiki/Marguerite_Frank
9,9,1920,Feng Kang,Chinese mathematician and physicist (d. 1993),https://en.wikipedia.org/wiki/Feng_Kang
10,9,1839,Charles Sanders Peirce,"American mathematician, statistician, and philosopher (d. 1914)",https://en.wikipedia.org/wiki/Charles_Sanders_Peirce
11,9,1877,James Hopwood Jeans,"English physicist, astronomer, and mathematician (d. 1946)",https://en.wikipedia.org/wiki/James_Hopwood_Jeans
11,9,1951,Richard D. Gill,English-Dutch mathematician and academic,https://en.wikipedia.org/wiki/Richard_D._Gill
12,9,1894,Dorothy Maud Wrinch,"Argentinian-English mathematician, biochemist and philosopher (d. 1976)",https://en.wikipedia.org/wiki/Dorothy_Maud_Wrinch
12,9,1900,Haskell Curry,"American mathematician, logician, and academic (d. 1982)",https://en.wikipedia.org/wiki/Haskell_Curry
13,9,1873,Constantin Carathéodory,German mathematician and author (d. 1950),https://en.wikipedia.org/wiki/Constantin_Carath%C3%A9odory
13,9,1885,Wilhelm Blaschke,Austrian-German mathematician and academic (d. 1962),https://en.wikipedia.org/wiki/Wilhelm_Blaschke
14,9,1713,Johann Kies,German astronomer and mathematician (d. 1781),https://en.wikipedia.org/wiki/Johann_Kies
14,9,1837,Nikolai Bugaev,Georgian-Russian mathematician and philosopher (d. 1903),https://en.wikipedia.org/wiki/Nikolai_Bugaev
14,9,1891,Ivan Matveyevich Vinogradov,Russian mathematician and academic (d. 1983),https://en.wikipedia.org/wiki/Ivan_Matveyevich_Vinogradov
14,9,1920,Alberto Calderón,Argentinian-American mathematician and academic (d. 1998),https://en.wikipedia.org/wiki/Alberto_Calder%C3%B3n
15,9,1736,Jean Sylvain Bailly,"French astronomer, mathematician, and politician, 1st Mayor of Paris (d. 1793)",https://en.wikipedia.org/wiki/Jean_Sylvain_Bailly
15,9,1883,Esteban Terradas i Illa,Spanish mathematician and engineer (d. 1950),https://en.wikipedia.org/wiki/Esteban_Terradas_i_Illa
15,9,1886,Paul Lévy,French mathematician and theorist (d. 1971),https://en.wikipedia.org/wiki/Paul_L%C3%A9vy_(mathematician)
15,9,1926,Jean-Pierre Serre,French mathematician and academic,https://en.wikipedia.org/wiki/Jean-Pierre_Serre
16,9,1666,Antoine Parent,French mathematician and theorist (d. 1716),https://en.wikipedia.org/wiki/Antoine_Parent
17,9,1743,Marquis de Condorcet,French mathematician and political scientist (d. 1794),https://en.wikipedia.org/wiki/Marquis_de_Condorcet
17,9,1826,Bernhard Riemann,German-Italian mathematician and academic (d. 1866),https://en.wikipedia.org/wiki/Bernhard_Riemann
17,9,1944,Jean Taylor,American mathematician and academic,https://en.wikipedia.org/wiki/Jean_Taylor
18,9,1752,Adrien-Marie Legendre,French mathematician and theorist (d. 1833),https://en.wikipedia.org/wiki/Adrien-Marie_Legendre
18,9,1939,Jan Camiel Willems,Belgian mathematician and theorist (d. 2013),https://en.wikipedia.org/wiki/Jan_Camiel_Willems
19,9,1749,Jean Baptiste Joseph Delambre,French mathematician and astronomer (d. 1822),https://en.wikipedia.org/wiki/Jean_Baptiste_Joseph_Delambre
19,9,1811,Orson Pratt,American mathematician and religious leader (d. 1881),https://en.wikipedia.org/wiki/Orson_Pratt
19,9,1888,James Waddell Alexander II,American mathematician and topologist (d. 1971),https://en.wikipedia.org/wiki/James_Waddell_Alexander_II
19,9,1950,Michael Proctor,"English physicist, mathematician, and academic",https://en.wikipedia.org/wiki/Michael_Proctor_(academic)
20,9,1906,Vera Faddeeva,Russian mathematician (d. 1983),https://en.wikipedia.org/wiki/Vera_Faddeeva
20,9,1910,Dorothy Vaughan,American mathematician (d. 2008),https://en.wikipedia.org/wiki/Dorothy_Vaughan
20,9,1930,Richard Montague,American mathematician and philosopher (d. 1971),https://en.wikipedia.org/wiki/Richard_Montague
20,9,1956,Jennifer Tour Chayes,American mathematician and computer scientist,https://en.wikipedia.org/wiki/Jennifer_Tour_Chayes
21,9,1884,Dénes Kőnig,Hungarian mathematician and theorist (d. 1944),https://en.wikipedia.org/wiki/D%C3%A9nes_K%C5%91nig
21,9,1917,Phyllis Nicolson,English mathematician and academic (d. 1968),https://en.wikipedia.org/wiki/Phyllis_Nicolson
21,9,1968,Kevin Buzzard,British mathematician,https://en.wikipedia.org/wiki/Kevin_Buzzard
22,9,1547,Philipp Nicodemus Frischlin,"German philologist, mathematician, astronomer, and poet (d. 1590)",https://en.wikipedia.org/wiki/Philipp_Nicodemus_Frischlin
22,9,1765,Paolo Ruffini,Italian mathematician and philosopher (d. 1822),https://en.wikipedia.org/wiki/Paolo_Ruffini_(mathematician)
23,9,1851,Ellen Hayes,American mathematician and astronomer (d. 1930),https://en.wikipedia.org/wiki/Ellen_Hayes
23,9,1902,Su Buqing,Chinese mathematician and academic (d. 2003),https://en.wikipedia.org/wiki/Su_Buqing
24,9,1501,Gerolamo Cardano,"Italian mathematician, physician, and astrologer (d. 1576)",https://en.wikipedia.org/wiki/Gerolamo_Cardano
24,9,1625,Johan de Witt,Dutch mathematician and politician (d. 1672),https://en.wikipedia.org/wiki/Johan_de_Witt
24,9,1801,Mikhail Ostrogradsky,Ukrainian-Russian mathematician and physicist (d. 1862),https://en.wikipedia.org/wiki/Mikhail_Ostrogradsky
24,9,1923,Raoul Bott,Hungarian-American mathematician (d. 2005),https://en.wikipedia.org/wiki/Raoul_Bott
25,9,1893,Harald Cramér,Swedish mathematician and statistician (d. 1985),https://en.wikipedia.org/wiki/Harald_Cram%C3%A9r
25,9,1931,Bryan John Birch,English mathematician and scholar,https://en.wikipedia.org/wiki/Bryan_John_Birch
27,9,1719,Abraham Gotthelf Kästner,German mathematician and epigrammatist (d. 1800),https://en.wikipedia.org/wiki/Abraham_Gotthelf_K%C3%A4stner
27,9,1843,Gaston Tarry,French mathematician and academic (d. 1913),https://en.wikipedia.org/wiki/Gaston_Tarry
27,9,1879,Hans Hahn,Austrian mathematician and philosopher (d. 1934),https://en.wikipedia.org/wiki/Hans_Hahn_(mathematician)
27,9,1919,James H. Wilkinson,American mathematician and computer scientist (d. 1986),https://en.wikipedia.org/wiki/James_H._Wilkinson
28,9,1605,Ismaël Bullialdus,French astronomer and mathematician (d. 1694),https://en.wikipedia.org/wiki/Isma%C3%ABl_Bullialdus
28,9,1893,Hilda Geiringer,Austrian mathematician (d. 1973),https://en.wikipedia.org/wiki/Hilda_Geiringer
28,9,1925,Martin David Kruskal,American physicist and mathematician (d. 2006),https://en.wikipedia.org/wiki/Martin_David_Kruskal
28,9,1947,Rhonda Hughes,American mathematician and academic,https://en.wikipedia.org/wiki/Rhonda_Hughes
28,9,1956,Martha Isabel Fandiño Pinilla,Colombian-Italian mathematician and author,https://en.wikipedia.org/wiki/Martha_Isabel_Fandi%C3%B1o_Pinilla
29,9,1561,Adriaan van Roomen,Flemish priest and mathematician (d. 1615),https://en.wikipedia.org/wiki/Adriaan_van_Roomen
29,9,1803,Jacques Charles François Sturm,French mathematician and theorist (d. 1850),https://en.wikipedia.org/wiki/Jacques_Charles_Fran%C3%A7ois_Sturm
29,9,1812,Adolph Göpel,German mathematician (d. 1847),https://en.wikipedia.org/wiki/Adolph_G%C3%B6pel
30,9,1550,Michael Maestlin,German astronomer and mathematician (d. 1631),https://en.wikipedia.org/wiki/Michael_Maestlin
