day,month,year,name,bio,url
19,2,1473,Nicolaus Copernicus,Prussian mathematician and astronomer (d. 1543),https://en.wikipedia.org/wiki/Nicolaus_Copernicus
20,2,1931,John Milnor,American mathematician and academic,https://en.wikipedia.org/wiki/John_Milnor
22,2,1796,Adolphe Quetelet,"Belgian mathematician, astronomer, and sociologist (d. 1874)",https://en.wikipedia.org/wiki/Adolphe_Quetelet
22,2,1817,Carl Wilhelm Borchardt,German mathematician and academic (d. 1880),https://en.wikipedia.org/wiki/Carl_Wilhelm_Borchardt
22,2,1824,Pierre Janssen,French astronomer and mathematician (d. 1907),https://en.wikipedia.org/wiki/Pierre_Janssen
22,2,1849,Nikolay Yakovlevich Sonin,Russian mathematician and academic (d. 1915),https://en.wikipedia.org/wiki/Nikolay_Yakovlevich_Sonin
22,2,1903,Frank P. Ramsey,"English economist, mathematician, and philosopher (d. 1930)",https://en.wikipedia.org/wiki/Frank_Ramsey_(mathematician)
23,2,1583,Jean-Baptiste Morin,"French mathematician, astrologer, and astronomer (d. 1656)",https://en.wikipedia.org/wiki/Jean-Baptiste_Morin_(mathematician)
24,2,1946,Grigory Margulis,Russian mathematician and academic,https://en.wikipedia.org/wiki/Grigory_Margulis
25,2,1670,Maria Margarethe Kirch,German astronomer and mathematician (d. 1720),https://en.wikipedia.org/wiki/Maria_Margarethe_Kirch
25,2,1926,Masatoshi Gündüz Ikeda,Japanese-Turkish mathematician and academic; developed algebraic number theory (d. 2003),https://en.wikipedia.org/wiki/Masatoshi_G%C3%BCnd%C3%BCz_Ikeda
26,2,1786,François Arago,"French mathematician and politician, 25th Prime Minister of France (d. 1853)",https://en.wikipedia.org/wiki/Fran%C3%A7ois_Arago
26,2,1976,Nalini Anantharaman,French mathematician,https://en.wikipedia.org/wiki/Nalini_Anantharaman
27,2,1881,L. E. J. Brouwer,"Dutch mathematician, philosopher, and academic (d. 1966)",https://en.wikipedia.org/wiki/L._E._J._Brouwer
27,2,1903,Hans Rohrbach,German mathematician (d. 1993),https://en.wikipedia.org/wiki/Hans_Rohrbach
27,2,1927,Peter Whittle,English-New Zealand mathematician and theorist (d. 2021) ,https://en.wikipedia.org/wiki/Peter_Whittle_(mathematician)
28,2,1552,Jost Bürgi,Swiss mathematician and clockmaker (d. 1632),https://en.wikipedia.org/wiki/Jost_B%C3%BCrgi
28,2,1878,Pierre Fatou,French mathematician and astronomer (d. 1929),https://en.wikipedia.org/wiki/Pierre_Fatou
28,2,1949,Zoia Ceaușescu,"Romanian mathematician, daughter of Communist leader Nicolae Ceaușescu and his wife Elena Ceaușescu (d. 2006)",https://en.wikipedia.org/wiki/Zoia_Ceau%C8%99escu
29,2,1928,Seymour Papert,"South African mathematician and computer scientist, co-creator of the Logo programming language (d. 2016)",https://en.wikipedia.org/wiki/Seymour_Papert
29,2,1932,Gene H. Golub,American mathematician and academic (d. 2007),https://en.wikipedia.org/wiki/Gene_H._Golub
1,3,1597,Jean-Charles della Faille,Flemish priest and mathematician (d. 1652),https://en.wikipedia.org/wiki/Jean-Charles_della_Faille
1,3,1611,John Pell,English mathematician and linguist (d. 1685),https://en.wikipedia.org/wiki/John_Pell_(mathematician)
2,3,1901,Grete Hermann,German mathematician and philosopher (d. 1984),https://en.wikipedia.org/wiki/Grete_Hermann
3,3,1845,Georg Cantor,Russian-German mathematician and philosopher (d. 1918),https://en.wikipedia.org/wiki/Georg_Cantor
3,3,1898,Emil Artin,Austrian-German mathematician and academic (d. 1962),https://en.wikipedia.org/wiki/Emil_Artin
3,3,1916,Paul Halmos,Hungarian-American mathematician (d. 2006),https://en.wikipedia.org/wiki/Paul_Halmos
4,3,1822,Jules Antoine Lissajous,French mathematician and academic (d. 1880),https://en.wikipedia.org/wiki/Jules_Antoine_Lissajous
4,3,1866,Eugène Cosserat,French mathematician and astronomer (d. 1931),https://en.wikipedia.org/wiki/Eug%C3%A8ne_Cosserat
4,3,1871,Boris Galerkin,Russian mathematician and engineer (d. 1945),https://en.wikipedia.org/wiki/Boris_Galerkin
